2026-04-22 17:03:52,850 [ALLOW] UDP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 17:03:52,850 [ALLOW] UDP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 17:03:52,946 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,946 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,946 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 17:03:52,946 [ALLOW] TCP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 17:03:52,946 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,947 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,947 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,960 [ALLOW] UDP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,960 [ALLOW] UDP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,960 [ALLOW] UDP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:52,961 [ALLOW] UDP 192.168.64.2 -> 18.213.32.120 | rule: Allow all
2026-04-22 17:03:52,993 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:53,066 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:53,066 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:53,066 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:53,066 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
2026-04-22 17:03:53,066 [ALLOW] TCP 18.213.32.120 -> 192.168.64.2 | rule: Allow all
